prodi_id,nama_prodi,jenjang
378,Arsitektur Interior,S1
379,Teknik Metalurgi Dan Material,S1
380,Manajemen Administrasi,D3
381,Ilmu Teknologi Pangan,S1
382,Komunikasi Penyiaran Islam,S1
383,Ilmu Ternak,S1
384,Ilmu Al Qur`an Dan Tafsir,S1
385,Administrasi Negara,S1
386,Hukum Keluarga Islam (Ahwal Syakhshiyah),S1
387,PG PAUD,S1
388,Administrasi Fiskal,S1
389,Ilmu Administrasi Bisnis,S1
390,Pendidikan Guru Raudlatul Athfal,S1
391,Hukum Keluarga Islam (Ahwal Syakhshiyyah) (S1),S1
392,Bahasa Dan Sastra Inggris,S1
393,Sosiologi Agama,S1
394,Hukum Pidana Islam,S1
395,Hukum Ekonomi Syari'ah (Muamalah),S1
396,Pendidikan Teknik Elektro,S1
397,Studi Agama-Agama,S1
398,Perbandingan Mazhab Dan Hukum,S1
399,Sejarah Dan Kebudayaan Islam,S1
400,Hukum Keluarga (Akhwal Syahsiyyah),S1
401,Pendidikan Ilmu Pengetahuan Sosial,S1
402,Hukum Tata Negara (Siyasah),S1
403,Hukum Ekonomi Syariah (Mu'amalah),S1
404,Perpustakaan Dan Ilmu Informasi,S1
405,Psikologi Islam,S1
406,Tadris Ilmu Pengetahuan Sosial,S1
407,Asuransi Syariah,S1
408,Ilmu Hadis,S1
409,Perbandingan Mazhab,S1
410,Sejarah Peradaban Islam,S1
411,Hukum Tatanegara (Siyasah),S1
412,Bimbingan Konseling Islam,S1
413,Ilmu Alquran Dan Tafsir,S1
414,Sejarah Dan Peradaban Islam,S1
415,Tadris Fisika,S1
416,Ilmu Tasawuf,S1
417,Tadris Ilmu Pengetahuan Sosial (IPS),S1
418,Tadris Kimia,S1
419,Hukum Keluarga (Ahwal Al-Syakhshiyah),S1
420,Dirasat Islamiyah,S1
421,Akuntansi Syari`ah,S1
422,Studi Agama-agama,S1
423,Hukum Keluarga Islam (Ahwal Al-Syakhsiyyah),S1
424,Ilmu Falak,S1
425,Manajemen Dakwah (MD),S1
426,Ekonomi Syariah (Ekonomi Islam),S1
427,Ilmu Seni Dan Arsitektur Islam,S1
428,Manajemen Haji Dan Umrah,S1
429,Pendidikan Luar Sekolah,S1
